,t,p,v,q,pwm,fa,hover_throttle,T_sp
10,1758984371.281953,"[0.00015999015073620625, 1.4888180137582685e-16, 0.911632421118377]","[2.3418164090769796e-15, 4.30485357529156e-16, -2.0684433816341068e-15]","[1.0, -2.122053975452468e-17, 3.406093085837396e-16, -1.5917367160091258e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.8467399697898413e-15, 9.68983756988676e-18, -52.11898076898158]",0.5,[28.014357968981578]
11,1758984371.287046,"[0.00015999015073621812, 1.5104522363656213e-16, 0.911632421118377]","[2.3740083023985797e-15, 4.326844521470546e-16, -2.0684433816341068e-15]","[1.0, -1.985780544745281e-17, 3.371109028785065e-16, -1.5826873860622888e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.895791113250982e-15, 3.799198969722147e-17, -52.11898076898158]",0.5,[28.014357968981578]
12,1758984371.292172,"[0.00015999015073623013, 1.532187196932679e-16, 0.911632421118377]","[2.4040936021239564e-15, 4.346992113411517e-16, -2.0684433816341068e-15]","[1.0, -1.8502220564825628e-17, 3.332286977201533e-16, -1.5749435728403666e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-3.2262746430046586e-15, 4.937232042546052e-17, -52.11898076898158]",0.5,[28.014357968981578]
13,1758984371.29726,"[0.00015999015073624233, 1.5540176917316215e-16, 0.911632421118377]","[2.4370880470521478e-15, 4.3660989597885325e-16, -2.0684433816341068e-15]","[1.0, -1.7156891674815245e-17, 3.2949516659659833e-16, -1.5658942429073587e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.8437881742175738e-15, 6.770023556710979e-17, -52.11898076898158]",0.5,[28.014357968981578]
14,1758984371.302561,"[0.00015999015073625466, 1.5759416217244405e-16, 0.911632421118377]","[2.468649204066017e-15, 4.384785998563824e-16, -2.0684433816341068e-15]","[1.0, -1.5831485770730232e-17, 3.2564427086262194e-16, -1.5568449207539584e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.9720527853680045e-15, 8.509070815923069e-17, -52.11898076898158]",0.5,[28.014357968981578]
15,1758984371.3076324,"[0.00015999015073626716, 1.5979499296145488e-16, 0.911632421118377]","[2.5002751440211906e-15, 4.4016615780216396e-16, -2.0684433816341068e-15]","[1.0, -1.4520503969021115e-17, 3.2177321615120297e-16, -1.5477955986176051e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.7358986218144996e-15, 1.0457849879019423e-16, -52.11898076898158]",0.5,[28.014357968981578]
16,1758984371.312709,"[0.0001599901507362798, 1.6200379436106463e-16, 0.911632421118377]","[2.532550735333584e-15, 4.417602799219514e-16, -2.0684433816341068e-15]","[1.0, -1.3227723297120783e-17, 3.1800981605755925e-16, -1.538746276478185e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.4079702853691785e-15, 1.258045723294721e-16, -52.11898076898158]",0.5,[28.014357968981578]
17,1758984371.317832,"[0.00015999015073629263, 1.6421967539123832e-16, 0.911632421118377]","[2.5639653837736082e-15, 4.431762060347388e-16, -2.0684433816341068e-15]","[1.0, -1.1947621652931958e-17, 3.1425322319540997e-16, -1.5296969543357996e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.315360359818362e-15, 1.3187872390394938e-16, -52.11898076898158]",0.5,[28.014357968981578]
18,1758984371.322949,"[0.00015999015073630562, 1.6644175067085496e-16, 0.911632421118377]","[2.595522831274723e-15, 4.444150559233265e-16, -2.0684433816341068e-15]","[1.0, -1.067466829809243e-17, 3.105896791774718e-16, -1.5206476321905957e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.1565566409328867e-15, 1.3103480508729752e-16, -52.11898076898158]",0.5,[28.014357968981578]
19,1758984371.3280509,"[0.00015999015073631874, 1.686694901473668e-16, 0.911632421118377]","[2.6261655142757482e-15, 4.455478953023648e-16, -2.0684433816341068e-15]","[1.0, -9.410895024254927e-18, 3.0692631172817126e-16, -1.5115983100427128e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.1201317315579416e-15, 1.3767200286371326e-16, -52.11898076898158]",0.5,[28.014357968981578]
